cid,iupacname,smiles
9543358,"[(1R,2R)-1,2-dihydroxypropyl]phosphonic acid",C[C@H]([C@H](O)P(=O)(O)O)O
439960,(2R)-2-hydroxy-4-methylpentanoic acid,CC(C)C[C@H](C(=O)O)O
124202427,,O[Si](=O)O.[Mg]
428299,3-azanidylbutan-2-ylazanide;dichloroplatinum(2+),CC(C(C)[NH-])[NH-].Cl[Pt+2]Cl
439938,(2R)-1-aminopropan-2-ol,C[C@H](CN)O
156968,(2R)-2-bromo-3-methylbutanoic acid,CC(C)[C@H](C(=O)O)Br
185992,[(1R)-1-aminoethyl]phosphonic acid,C[C@H](N)P(=O)(O)O
385461,methyl (2R)-5-oxopyrrolidine-2-carboxylate,COC(=O)[C@H]1CCC(=O)N1
5324845,"(2R)-3,3-dimethylbutan-2-amine",C[C@H](C(C)(C)C)N
640199,(1R)-1-phenylpropan-1-ol,CC[C@H](C1=CC=CC=C1)O
6950587,(2R)-2-amino-3-methylbutan-1-ol,CC(C)[C@H](CO)N
6951165,(1R)-2-amino-1-phenylethanol,C1=CC=C(C=C1)[C@H](CN)O
2760712,"(2R)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoic acid",C[C@@](C(=O)O)(C(F)(F)F)O
13895984,(2R)-1-[(2R)-oxiran-2-yl]pent-4-en-2-ol,C=CC[C@H](C[C@@H]1CO1)O
10441885,(2R)-3-bromo-2-methylpropan-1-ol,C[C@H](CO)CBr
11147670,(2R)-2-ethyloxirane,CC[C@@H]1CO1
80080,(2R)-octan-2-ol,CCCCCC[C@@H](C)O
23679703,sodium (3R)-3-hydroxybutanoate,C[C@H](CC(=O)[O-])O.[Na+]
92824,(2R)-2-hydroxybutanedioic acid,C([C@H](C(=O)O)O)C(=O)O
6999786,(2R)-3-methylbutan-2-amine,C[C@H](C(C)C)N
12217444,"(2R)-propane-1,2-diamine;dihydrochloride",C[C@H](CN)N.Cl.Cl
185505,(4R)-4-hydroxypyrrolidin-2-one,C1[C@H](CNC1=O)O
16216954,(3R)-1-azabicyclo[2.2.2]octan-3-ol;hydrochloride,C1CN2CCC1[C@H](C2)O.Cl
6931932,"(1R)-2,2-dimethylcyclopropane-1-carboxamide",CC1(C[C@H]1C(=O)N)C
2724540,(2R)-2-chloropropanoic acid,C[C@H](C(=O)O)Cl
2724537,(2R)-butan-2-amine,CC[C@@H](C)N
2733589,(2R)-1-methoxypropan-2-ol,C[C@H](COC)O
2734124,[(2R)-oxolan-2-yl]methanamine,C1C[C@@H](OC1)CN
2734868,(1R)-1-(2-bromophenyl)ethanol,C[C@H](C1=CC=CC=C1Br)O
43806,"trans-(1R,2R)-cyclohexane-1,2-diamine",C1CC[C@H]([C@@H](C1)N)N
6398856,(2R)-4-methoxy-2-methyl-4-oxobutanoic acid,C[C@H](CC(=O)OC)C(=O)O
8998,"butane-1,2,3,4-tetrol",C(C(C(CO)O)O)O
118989313,methyl (2R)-2-amino-2-cyclopropylacetate;hydrochloride,COC(=O)[C@@H](C1CC1)N.Cl
259712,"(4R)-2,2-dimethyl-1,3-dioxolane-4-carbaldehyde",CC1(OC[C@@H](O1)C=O)C
5284423,(2R)-2-methyl-1-nitrosopiperidine,C[C@@H]1CCCCN1N=O
6993464,(2R)-hexan-2-amine,CCCC[C@@H](C)N
10898919,(2R)-2-(3-chlorophenyl)oxirane,C1[C@H](O1)C2=CC(=CC=C2)Cl
2759334,(3R)-piperidin-3-ol,C1C[C@H](CNC1)O
44593757,"(2R)-1,1,1-trifluoropropan-2-amine;hydrochloride",C[C@H](C(F)(F)F)N.Cl
852998,(1R)-1-(4-fluorophenyl)ethanol,C[C@H](C1=CC=C(C=C1)F)O
2724538,(2R)-2-(methoxymethyl)pyrrolidin-1-amine,COC[C@H]1CCCN1N
68639055,2-[(2R)-piperidin-2-yl]ethanol;hydrochloride,C1CCN[C@H](C1)CCO.Cl
10486989,2-methylpropyl (2R)-2-hydroxypropanoate,C[C@H](C(=O)OCC(C)C)O
10997054,(4R)-4-propyloxolan-2-one,CCC[C@@H]1CC(=O)OC1
11298047,"O-[[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl]hydroxylamine",CC1(OC[C@@H](O1)CON)C
157018,(4R)-4-aminohex-5-enoic acid,C=C[C@@H](CCC(=O)O)N
5706670,(3R)-3-aminobutanoic acid,C[C@H](CC(=O)O)N
642242,methyl (2R)-3-bromo-2-methylpropanoate,C[C@@H](CBr)C(=O)OC
24820427,(3R)-3-aminohex-5-enoic acid;hydrochloride,C=CC[C@H](CC(=O)O)N.Cl
22982782,(3R)-3-aminobutanoic acid;hydrochloride,C[C@H](CC(=O)O)N.Cl
45157555,(3R)-1-azabicyclo[2.2.2]octan-3-amine;hydrochloride,C1CN2CCC1[C@H](C2)N.Cl
6971128,(2R)-6-methylhept-5-en-2-ol,C[C@H](CCC=C(C)C)O
7016286,(1R)-1-cyclopropylethanamine,C[C@H](C1CC1)N
2761558,(3R)-3-amino-4-methylpentanoic acid,CC(C)[C@@H](CC(=O)O)N
20848931,(2R)-3-hydroxy-2-methylpropanoate,C[C@H](CO)C(=O)[O-]
11446532,methyl (2R)-2-aminopent-4-enoate;hydrochloride,COC(=O)[C@@H](CC=C)N.Cl
11804797,methyl (3R)-3-hydroxypentanoate,CC[C@H](CC(=O)OC)O
77983,(2R)-2-methylbutanedioic acid,C[C@H](CC(=O)O)C(=O)O
10964625,(1R)-1-cyclohexylpropan-1-ol,CC[C@H](C1CCCCC1)O
640080,"(2R,3R)-2-chloro-3-methylpentanoic acid",CC[C@@H](C)[C@H](C(=O)O)Cl
50997793,(3R)-3-aminopiperidin-2-one;hydrochloride,C1C[C@H](C(=O)NC1)N.Cl
83887,(2R)-2-aminobutanedioic acid,C([C@H](C(=O)O)N)C(=O)O
46738134,"(3R)-3-aminooxolane-2,5-dione;hydrochloride",C1[C@H](C(=O)OC1=O)N.Cl
446094,"(2S,3S)-1,4-bis(sulfanyl)butane-2,3-diol",C([C@H]([C@@H](CS)O)O)S
439691,(2R)-2-aminobutanoic acid,CC[C@H](C(=O)O)N
439685,(2R)-5-oxopyrrolidine-2-carboxylic acid,C1CC(=O)N[C@H]1C(=O)O
6992738,(2R)-2-bromobutanoic acid,CC[C@H](C(=O)O)Br
10920707,methyl (3R)-4-chloro-3-hydroxybutanoate,COC(=O)C[C@H](CCl)O
1715108,2-[(2R)-piperidin-2-yl]ethanol,C1CCN[C@H](C1)CCO
3038526,"2,3-bis(sulfanyl)butanebis(thioic S-acid)",C(C(C(=O)S)S)(C(=O)S)S
10290775,(3R)-3-hydroxypentanoic acid,CC[C@H](CC(=O)O)O
2779071,"(3R)-4,4,4-trifluoro-3-hydroxybutanoic acid",C([C@H](C(F)(F)F)O)C(=O)O
6992713,(2R)-2-aminopent-4-ynoic acid,C#CC[C@H](C(=O)O)N
6950109,(2R)-2-methylpentanoic acid,CCC[C@@H](C)C(=O)O
2760525,(2R)-pyrrolidine-2-carbonitrile;hydrochloride,C1C[C@@H](NC1)C#N.Cl
11469122,(2R)-2-[(2R)-pyrrolidin-2-yl]pyrrolidine,C1C[C@@H](NC1)[C@H]2CCCN2
2724877,(2R)-2-amino-2-methylbutanoic acid,CC[C@](C)(C(=O)O)N
2734443,"(4R)-4-(chloromethyl)-2,2-dimethyl-1,3-dioxolane",CC1(OC[C@@H](O1)CCl)C
2734887,[(1R)-1-amino-2-methylpropyl]phosphonic acid,CC(C)[C@H](N)P(=O)(O)O
42614516,ethyl (3R)-3-aminobutanoate;hydrochloride,CCOC(=O)C[C@@H](C)N.Cl
385465,"methyl (4R)-2-oxo-1,3-oxazolidine-4-carboxylate",COC(=O)[C@H]1COC(=O)N1
23327,(2R)-2-aminopentanedioic acid,C(CC(=O)O)[C@H](C(=O)O)N
23939,platinum,[Pt]
1084920,(1R)-1-pyridin-3-ylethanamine,C[C@H](C1=CN=CC=C1)N
5352425,lead,[Pb]
5462224,magnesium,[Mg]
5359268,aluminum,[Al]
6428,"1,1,2-trichloro-1,2,2-trifluoroethane",C(C(F)(Cl)Cl)(F)(F)Cl
12035,(2R)-2-acetamido-3-sulfanylpropanoic acid,CC(=O)N[C@@H](CS)C(=O)O
17998883,(2R)-2-amino-2-methylbutanoic acid;hydrochloride,CC[C@](C)(C(=O)O)N.Cl
87178124,(2R)-1-amino-3-chloropropan-2-ol;hydrochloride,C([C@H](CCl)O)N.Cl
5288845,"(4R)-2-methylpentane-2,4-diol",C[C@H](CC(C)(C)O)O
73012295,[(3R)-piperidin-3-yl]methanol;hydrochloride,C1C[C@H](CNC1)CO.Cl
637981,"(8aR)-1,2,3,5,6,7,8,8a-octahydroindolizine",C1CCN2CCC[C@H]2C1
642106,(1R)-1-(furan-2-yl)propan-1-ol,CC[C@H](C1=CC=CO1)O
642520,(4R)-4-propan-2-ylcyclohex-2-en-1-one,CC(C)[C@H]1CCC(=O)C=C1
643135,"(E,5R)-5-methylhept-2-en-4-one",CC[C@@H](C)C(=O)/C=C/C
10130074,(2R)-2-(4-chlorophenyl)oxirane,C1[C@H](O1)C2=CC=C(C=C2)Cl
86590828,methyl (2R)-3-amino-2-hydroxypropanoate;hydrochloride,COC(=O)[C@@H](CN)O.Cl
13018906,methyl (2R)-2-amino-2-methylbutanoate;hydrochloride,CC[C@](C)(C(=O)OC)N.Cl
11094592,2-methyl-2-[(R)-methylsulfinyl]propane,CC(C)(C)[S@](=O)C
444458,(4R)-4-aminopentanoic acid,C[C@H](CCC(=O)O)N
449265,(2R)-2-hydroxybutanoic acid,CC[C@H](C(=O)O)O
6992244,(3R)-oct-1-en-3-ol,CCCCC[C@H](C=C)O
146048040,"(2R,3R)-3-methyl-4-sulfanylbutan-2-ol",C[C@@H](CS)[C@@H](C)O
2779054,(1R)-1-(2-fluorophenyl)ethanol,C[C@H](C1=CC=CC=C1F)O
182297,(2R)-3-chloro-2-hydroxypropanoic acid,C([C@@H](C(=O)O)O)Cl
1514269,[(3R)-morpholin-3-yl]methanol,C1COC[C@H](N1)CO
7004239,"(8aR)-1,2,3,4,6,7,8,8a-octahydropyrrolo[1,2-a]pyrazine",C1C[C@@H]2CNCCN2C1
6934243,(3R)-3-amino-5-methylhexanoic acid,CC(C)C[C@H](CC(=O)O)N
7446913,[(3R)-pyrrolidin-3-yl]methanol,C1CNC[C@@H]1CO
56971762,(2R)-2-(aminomethyl)-3-methylbutanoic acid;hydrochloride,CC(C)[C@H](CN)C(=O)O.Cl
68683921,methyl (2R)-azetidine-2-carboxylate;hydrochloride,COC(=O)[C@H]1CCN1.Cl
9855481,(2R)-oxolane-2-carbothioic S-acid,C1C[C@@H](OC1)C(=O)S
736697,(1R)-cyclohex-3-ene-1-carboxylic acid,C1C[C@H](CC=C1)C(=O)O
67280940,(3R)-3-aminopyrrolidin-2-one;hydrochloride,C1CNC(=O)[C@@H]1N.Cl
40152301,[(2R)-4-methylmorpholin-2-yl]methanol,CN1CCO[C@H](C1)CO
5326288,(2R)-2-chlorobutanoic acid,CC[C@H](C(=O)O)Cl
6455225,"methyl (4R)-1,3-thiazolidine-4-carboxylate;hydrochloride",COC(=O)[C@@H]1CSCN1.Cl
66683802,(3R)-1-methylpyrrolidin-3-amine;hydrochloride,CN1CC[C@H](C1)N.Cl
25630606,[(3R)-oxolan-3-yl]methanamine,C1COC[C@H]1CN
53229934,[(2R)-pyrrolidin-2-yl]methanol;hydrochloride,C1C[C@@H](NC1)CO.Cl
67041261,"(3R)-1,1-dioxothiolan-3-amine;hydrochloride",C1CS(=O)(=O)C[C@@H]1N.Cl
638758,(3R)-3-methyloxolan-2-one,C[C@@H]1CCOC1=O
12039142,(2R)-2-aminohex-5-enoic acid,C=CCC[C@H](C(=O)O)N
637525,(2R)-2-methylpiperidine,C[C@@H]1CCCCN1
12279939,methyl (2R)-2-sulfanylpropanoate,C[C@H](C(=O)OC)S
5460407,"(2R,3S)-2,3,4-trihydroxybutanoic acid",C([C@@H]([C@H](C(=O)O)O)O)O
51358597,(3R)-3-aminoazepan-2-one;hydrochloride,C1CCNC(=O)[C@@H](C1)N.Cl
21122123,"(2R,3R)-2,3-dihydroxybutanediamide",[C@@H]([C@H](C(=O)N)O)(C(=O)N)O
439600,"(2R)-2,4-diamino-4-oxobutanoic acid",C([C@H](C(=O)O)N)C(=O)N
22831503,(1R)-1-(3-bromophenyl)ethanamine,C[C@H](C1=CC(=CC=C1)Br)N
22831496,(2R)-nonan-2-amine,CCCCCCC[C@@H](C)N
42614519,(5R)-5-aminopiperidin-2-one;hydrochloride,C1CC(=O)NC[C@@H]1N.Cl
7057913,(2R)-1-(dimethylamino)propan-2-ol,C[C@H](CN(C)C)O
7023123,(2R)-2-(4-fluorophenyl)oxirane,C1[C@H](O1)C2=CC=C(C=C2)F
7010080,"(3R)-3-amino-4,4-dimethylpentanoic acid",CC(C)(C)[C@@H](CC(=O)O)N
6993662,(2R)-2-amino-2-methylbutanedioic acid,C[C@@](CC(=O)O)(C(=O)O)N
12349568,(2R)-2-(methoxymethyl)pyrrolidine-1-carbaldehyde,COC[C@H]1CCCN1C=O
10176092,[(2R)-azetidin-2-yl]methanol,C1CN[C@H]1CO
6928497,(2R)-3-acetylsulfanyl-2-methylpropanoic acid,C[C@@H](CSC(=O)C)C(=O)O
1712211,(3R)-diazinane-3-carboxylic acid,C1C[C@@H](NNC1)C(=O)O
6558857,[(2R)-morpholin-2-yl]methanol,C1CO[C@H](CN1)CO
1502074,2-[(3R)-pyrrolidin-3-yl]acetic acid,C1CNC[C@H]1CC(=O)O
6603844,"(3R)-3-ethyl-3-methylpyrrolidine-2,5-dione",CC[C@@]1(CC(=O)NC1=O)C
7446917,(3R)-1-methylpiperidin-3-amine,CN1CCC[C@H](C1)N
6999881,"(3R)-2,2-dimethylpentan-3-ol",CC[C@H](C(C)(C)C)O
28362281,"N,N-dimethyl-1-[(2R)-morpholin-2-yl]methanamine",CN(C)C[C@H]1CNCCO1
29943831,2-[(3R)-3-hydroxypyrrolidin-1-yl]acetic acid,C1CN(C[C@@H]1O)CC(=O)O
11469046,(2R)-2-[[(2R)-oxiran-2-yl]methyl]oxirane,C1[C@H](O1)C[C@@H]2CO2
854158,(3R)-piperidine-3-carboxamide,C1C[C@H](CNC1)C(=O)N
14662179,(2R)-2-[(1R)-1-hydroxyethyl]azetidine-2-carboxylic acid,C[C@H]([C@]1(CCN1)C(=O)O)O
28065062,1-[(3R)-3-aminopiperidin-1-yl]ethanone,CC(=O)N1CCC[C@H](C1)N
67247105,[(2R)-piperidin-2-yl]methanol;hydrochloride,C1CCN[C@H](C1)CO.Cl
76960363,"(2R,5R)-hexane-1,2,5-triol",C[C@H](CC[C@H](CO)O)O
57516612,(2R)-2-amino-2-(1-methylcyclopropyl)acetic acid;hydrochloride,CC1(CC1)[C@H](C(=O)O)N.Cl
90020051,"(1R)-1-[(1R)-2,2-dichlorocyclopropyl]ethanamine;hydrochloride",C[C@H]([C@H]1CC1(Cl)Cl)N.Cl
95036356,"(2S,3S)-2,3-dichloro-1,1,1,2,3-pentafluoropropane",[C@H]([C@@](C(F)(F)F)(F)Cl)(F)Cl
