Molecule_ID,Name,SMILES,Handedness
Mol_120,"[(2R)-2,3-dihydroxypropyl] propanoate_enantiomer",CCC(=O)OC[C@@H](O)CO,S
Mol_121,2-[(2R)-oxan-2-yl]acetic acid,O=C(O)C[C@H]1CCCCO1,R
Mol_122,2-[(2R)-oxan-2-yl]acetic acid_enantiomer,O=C(O)C[C@@H]1CCCCO1,S
Mol_123,(2R)-1-cyclopropyl-2-methylpyrrolidine,C[C@@H]1CCCN1C1CC1,R
Mol_124,(2R)-1-cyclopropyl-2-methylpyrrolidine_enantiomer,C[C@H]1CCCN1C1CC1,S
Mol_125,(2R)-2-(2-methoxypropan-2-yl)pyrrolidine,COC(C)(C)[C@H]1CCCN1,R
Mol_126,(2R)-2-(2-methoxypropan-2-yl)pyrrolidine_enantiomer,COC(C)(C)[C@@H]1CCCN1,S
Mol_127,(2R)-1-(4-aminopyrazol-1-yl)propan-2-ol,C[C@@H](O)Cn1cc(N)cn1,R
Mol_128,(2R)-1-(4-aminopyrazol-1-yl)propan-2-ol_enantiomer,C[C@H](O)Cn1cc(N)cn1,S
Mol_129,"(1R)-1-(1,3-oxazol-5-yl)ethanamine",C[C@@H](N)c1cnco1,R
Mol_130,"(1R)-1-(1,3-oxazol-5-yl)ethanamine_enantiomer",C[C@H](N)c1cnco1,S
Mol_131,"(2R)-1,1-difluorobutan-2-amine;hydrochloride",CC[C@@H](N)C(F)F.Cl,R
Mol_132,"(2R)-1,1-difluorobutan-2-amine;hydrochloride_enantiomer",CC[C@H](N)C(F)F.Cl,S
Mol_133,"(2R)-1,1,1-trifluoro-3-methylbutan-2-amine;hydrochloride",CC(C)[C@@H](N)C(F)(F)F.Cl,R
Mol_134,"(2R)-1,1,1-trifluoro-3-methylbutan-2-amine;hydrochloride_enantiomer",CC(C)[C@H](N)C(F)(F)F.Cl,S
Mol_135,"(3R)-2,2-dimethylpentan-3-ol",CC[C@@H](O)C(C)(C)C,R
Mol_136,"(3R)-2,2-dimethylpentan-3-ol_enantiomer",CC[C@H](O)C(C)(C)C,S
Mol_137,3-[(R)-methylsulfinyl]propan-1-amine,C[S@@](=O)CCCN,S
Mol_138,3-[(R)-methylsulfinyl]propan-1-amine_enantiomer,C[S@](=O)CCCN,R
Mol_139,(2R)-spiro[2.2]pentan-2-amine;hydrochloride,Cl.N[C@@H]1CC12CC2,R
Mol_140,(2R)-spiro[2.2]pentan-2-amine;hydrochloride_enantiomer,Cl.N[C@H]1CC12CC2,S
Mol_141,(3R)-3-aminoheptanoic acid,CCCC[C@@H](N)CC(=O)O,R
Mol_142,(3R)-3-aminoheptanoic acid_enantiomer,CCCC[C@H](N)CC(=O)O,S
Mol_143,[(2R)-3-hydroxy-2-methylpropyl] acetate,CC(=O)OC[C@H](C)CO,R
Mol_144,[(2R)-3-hydroxy-2-methylpropyl] acetate_enantiomer,CC(=O)OC[C@@H](C)CO,S
